,Haiku,Sexe réel,Sexe prédit,Proba prédite homme,Proba prédite femme
2582,lever du drapeau -\\l'uniforme de vieux vétéran\\pendouille,H,H,0.0,1.0
1194,lune ronde\\à la porte la vieille égrène\\son chapelet,F,H,0.0,1.0
1323,Deux ailes d'oiseau\\ton rouge à lèvres\\sur l'harmonica,H,H,0.0,1.0
1277,blottis tout l’hiver\\les décolletés blancs\\tremblotent enfin,H,F,1.0,0.0
517,neige fraîche . . . \\à côté du nouveau calendrier\\une ardoise propre,F,H,0.0,1.0
3005,en blouson noir\\sous des arbres\\aux fleurs roses,H,F,1.0,0.0
271,croissant de lune --\\elle coupe ses ongles\\dans le jardin,H,H,0.0,1.0
1690,Une soeur et un moine\\lisent ensemble un livre\\en deux langues,F,F,1.0,0.0
2171,odeur de paille sèche -\\les lumières d'une moissonneuse\\au fond de la nuit,H,H,0.0,1.0
1450,Pieds dans le lac ~\\Autour de mes chevilles\\quelques nuages,F,H,0.0,1.0
1208,Décombres-\\dans l'œil vide de la poupée\\les gouttes de la pluie tombent,H,H,0.0,1.0
2744,une longue réunion --\\du marqueur indélébile\\sur le tableau,H,H,0.0,1.0
441,(la bruyère encore en fleur -\\un long chemin pour conduire Maman\\de retour à l'hospice),H,H,0.0,1.0
2618,dimanche sans fin -\\un bonhomme de neige\\dans la cour de l'école,H,H,0.0,1.0
2415,me souvenant de toi\\froid et chaud\\dans la même brise,H,H,0.0,1.0
342,soir de printemps\\le croissant de la lune éclaire\\le reste de la lune,H,H,0.0,1.0
1335,sa peau scintille dans la lueur de la télévision pluie sur la fenêtre,H,H,0.0,1.0
385,Petite pluie fine\\Dans la benne aux encombrants\\des jouets meurtris,H,F,1.0,0.0
215,   Sur la baie\\   la pleine lune d'Août monte\\   comme les jours raccourcissent,F,F,1.0,0.0
2725,dans l'ombre du jardin\\le soleil marque\\le rouge de la crête du coq,H,H,0.0,1.0
2681,Les hurlements du vent et\\les cèdres qui se balancent --\\marins ivres,F,F,1.0,0.0
822,lune pâle -\\les os blanchis au soleil\\d'un moineau,H,H,0.0,1.0
338,mon plan de retraite\\les rides\\dans une flaque de boue,H,H,0.0,1.0
2953,la veranda\\avant la mise en bocaux -\\senteurs de pêches,H,H,0.0,1.0
1762,du cerisier\\brûle dans l'âtre -\\pluie d'automne,H,H,0.0,1.0
683,avec un gros crayon -\\le prix\\des fraises,H,H,0.0,1.0
1529,le lierre a recouvert\\le trou de la toiture\\- train du retour,H,H,0.0,1.0
407,"faucon, sur un poteau de cloture\\première lueur,\\la pluie une sorte de brouillard.",H,H,0.0,1.0
999,(Dans l'obscurité du matin\\tasse de café en main\\regretter le soleil),F,H,0.0,1.0
1381,pensées vagabondes -\\du sang sur le tranchant\\de la cisaille,H,F,1.0,0.0
1192,bal des pompiers\\elle a ressorti sa robe\\d’avant les enfants,H,F,1.0,0.0
1837,coupant en dés\\des quartiers de pomme -\\la lune à la fenêtre,H,H,0.0,1.0
314,zazen —\\cette mouche qui se heurte\\contre la vitre ensoleillée,H,H,0.0,1.0
1054,givre sur le pare-brise --\\je me souviens combien\\j'ai bu la nuit dernière,H,H,0.0,1.0
2434,Retour de colo\\il parle des rouges-gorges\\d'une autre voix,F,F,1.0,0.0
86,lentement\\le scarabée avance\\tempête de juin,H,H,0.0,1.0
2179,café amer –\\des bris de vitrines\\sous mes semelles,H,F,1.0,0.0
823,dimanche 7/1/7\\le couteau à cheval\\sur la fève,H,F,1.0,0.0
50,Ciel nuageux\\le soleil un rouge vif\\première tasse de café,F,H,0.0,1.0
3013,neige couvre le givre--\\jouant une pièce gaie au violon\\mince lumiere sous ta porte,F,H,0.0,1.0
2142,Blanche\\comme un linceul\\la piste noire,F,F,1.0,0.0
2548,un frisson soudain\\dans le passage à l'ombre -\\l'odeur des aubépines,H,H,0.0,1.0
1567,Page blanche\\l'ombre du stylo\\immobile,H,H,0.0,1.0
1466,le brouillard tourne en pluie\\dernier jour de notre chat,H,H,0.0,1.0
2752,   jour de printemps\\   froid et gris\\   une tasse de thé,F,F,1.0,0.0
1148,La lune sur les cèdres\\dans la forêt pluviale\\l'odeur de toi,F,F,1.0,0.0
2532,vieux pommier -\\un bruit de scie emplit\\l'espace vide,H,H,0.0,1.0
1239,Librairie Sauramps\\Des haïkus du bord de mer\\pour passer l'hiver,H,H,0.0,1.0
1738,Ombres d'épitaphes\\les tombes s'allongent\\au soleil couchant,H,F,1.0,0.0
1921,l'orage ce matin\\un demi-cercle parfait\\du rosier en fleurs,F,H,0.0,1.0
3162,automne profond~\\nichée sur mes doigts l'odeur\\de mandarine,F,F,1.0,0.0
1893,   soir de pleine lune\\   - les seins des mannequins\\   dans la vitrine,H,H,0.0,1.0
2747,après la pluie une rue d'hiver pleine de lunes,H,F,1.0,0.0
1023,nuit sans lune --\\tirant le chien\\d'ombre en ombre,H,H,0.0,1.0
1098,ouvrir la fenêtre\\et humer le lilas blanc\\éclos cette nuit,H,F,1.0,0.0
1612,fumeurs agglutinés --\\une autre conversation\\sur le Cloud,H,H,0.0,1.0
